,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
ENSSSCG00000000064,31.01219679,30.42223457,31.25809131,31.99487565,31.90204082,31.03264723,30.49938499,31.07322275,30.83524553,31.72504624,31.2160686,30.36766254,31.2533712,32.02107967,32.17035075,31.19780148,31.32053263,31.79321826,31.22647034,31.11452942,31.40434999,31.24971854,31.21358954,31.3063682,31.64312787,31.6647371,31.46173415,30.77579771,31.39664524,31.27852073,31.40575259,31.77532031,31.19118681,31.48479262,31.25136997,31.46933403
ENSSSCG00000000066,27.22749968,26.88987317,26.92237374,26.93241713,26.92905821,26.95120503,27.24477648,27.09194996,27.39514551,27.29873026,27.04629455,26.60197218,27.18421945,26.87120476,26.76875201,27.13783261,27.02240997,27.7998402,27.41174371,27.09579388,26.88104887,26.97912102,27.13942488,27.13463226,27.08272644,27.35976968,27.26357137,26.74670335,27.14538112,27.04355825,27.02047684,27.49135878,26.97768906,27.18526019,26.84447419,27.07934335
ENSSSCG00000000068,29.58365999,29.71872115,29.59373438,29.20925733,29.17743495,29.63286326,29.35426947,29.55161287,29.58442019,29.30587097,29.29921829,29.37051244,29.21233839,29.14890885,29.34657652,29.51030614,29.65988648,29.31879881,29.50482261,29.50908717,29.49618713,29.31159903,29.57848331,29.4635686,29.45410658,29.13862387,29.32508193,29.48094733,29.40749982,29.48365019,29.07191656,29.3160378,29.3310066,29.36754409,29.47936191,29.60237453
ENSSSCG00000000071,30.82908831,30.8453786,31.05124858,30.52311699,30.64560543,30.50975443,30.5587034,30.65447507,30.66393322,30.53793705,30.53021657,30.94264936,30.78141421,30.67747909,31.10490524,30.66575945,30.60454344,30.80819077,30.59204319,30.22282942,30.35728772,30.60432715,30.75020026,30.80976089,31.14117615,30.98328947,31.17411864,30.84391797,30.635986,30.3956915,30.69665747,30.73264615,30.52016147,30.74967653,30.532355,30.78764824
ENSSSCG00000000072,29.09078805,28.73651607,29.22474347,29.83510249,29.76857261,29.47665308,28.81964008,29.53205377,29.58812059,29.78533657,29.41210622,29.0273343,29.4629763,29.78513536,29.91882309,29.47094083,29.48823097,29.16892992,29.15202428,29.00217729,29.43212355,29.23718347,29.36734317,29.54888547,29.57386692,29.66160421,29.41340774,29.11273472,29.47994746,29.14248507,29.22441779,30.03141268,29.26873078,29.26669866,29.17566149,29.22492426
ENSSSCG00000000075,28.371135,28.5992383,27.90657503,27.59806329,27.86654375,28.17432683,28.03508723,28.02822436,28.12533588,27.84575428,28.17736188,27.7604862,28.27891386,28.00540503,27.52400461,28.02983781,28.09490968,28.09259157,28.48129613,28.35607888,28.577561,28.12621856,28.32124675,27.78579629,27.90305816,28.1872233,28.2390732,28.44640467,28.22723287,28.06299315,28.05112706,27.95448263,27.97327489,28.37329292,28.18772471,27.90161625
ENSSSCG00000000076,27.32153291,26.5563953,27.06893863,26.59617123,26.32259464,27.09681036,27.07565994,26.72282217,27.08531225,26.68147143,26.89760834,26.45349216,25.95698577,26.50083631,26.40430281,26.80828514,26.75362464,27.49603619,26.7246635,26.64047656,26.82602417,26.43204042,26.7967201,26.61467254,25.98319076,26.63340732,26.79911432,26.73385075,26.87794601,26.81200583,26.38599421,26.53146274,26.42612713,26.4981282,27.00371611,26.72095197
ENSSSCG00000000077,27.89789413,27.44474994,27.78929151,27.81531434,27.93048028,28.22378321,27.72773664,27.61540129,27.87876066,27.82754969,27.87177741,27.6792319,27.70241294,27.77264092,27.6108947,27.90075165,27.62035811,27.85246713,27.63218259,27.49617813,27.75087514,27.87627261,27.44070312,27.69002164,27.86341341,27.72765112,27.95242836,27.73223609,27.74088317,27.41825189,27.60445558,28.04697732,27.47065175,27.76784397,27.59645596,27.47038153
ENSSSCG00000000078,24.82298516,23.80916137,24.38517766,24.43191498,24.21000281,24.6794627,24.30185758,24.60295652,24.35444317,24.24715992,24.01609431,24.66748214,24.07115679,23.99572712,24.49846952,24.76352369,24.06102142,24.25452678,24.59655868,24.71169336,24.81664584,24.73449865,24.15682193,24.68145963,25.12883836,24.80443235,24.88125261,24.43751436,24.34775774,24.34181352,23.8681459,24.17908085,24.1466343,23.91698741,24.62883913,25.11073377
ENSSSCG00000000082,23.69440096,24.37104025,24.60044564,23.51437714,23.55792611,24.72796121,23.21646609,22.98913916,23.40566849,24.3527701,24.3335765,24.15483384,24.26641308,23.70127976,23.9679548,24.09752462,23.33753906,26.91566096,23.66367287,23.87424637,23.69907624,23.67036831,24.56691021,23.32476612,23.77307667,24.40107666,24.11461615,23.35598448,24.04689126,23.7137823,24.68669903,23.44211526,24.57726866,24.85857072,24.29676308,24.31527252
